Date,Close,Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),Close(t-6),Close(t-7)
1998-05-08,0.384896,0.379167,0.376563,0.390495,0.396875,0.39375,0.382292,0.397917
1998-05-11,0.361979,0.384896,0.379167,0.376563,0.390495,0.396875,0.39375,0.382292
1998-05-12,0.380729,0.361979,0.384896,0.379167,0.376563,0.390495,0.396875,0.39375
1998-05-13,0.386979,0.380729,0.361979,0.384896,0.379167,0.376563,0.390495,0.396875
1998-05-14,0.38151,0.386979,0.380729,0.361979,0.384896,0.379167,0.376563,0.390495
1998-05-15,0.373438,0.38151,0.386979,0.380729,0.361979,0.384896,0.379167,0.376563
1998-05-18,0.366927,0.373438,0.38151,0.386979,0.380729,0.361979,0.384896,0.379167
1998-05-19,0.376563,0.366927,0.373438,0.38151,0.386979,0.380729,0.361979,0.384896
1998-05-20,0.369271,0.376563,0.366927,0.373438,0.38151,0.386979,0.380729,0.361979
1998-05-21,0.369792,0.369271,0.376563,0.366927,0.373438,0.38151,0.386979,0.380729
1998-05-22,0.358333,0.369792,0.369271,0.376563,0.366927,0.373438,0.38151,0.386979
1998-05-26,0.341146,0.358333,0.369792,0.369271,0.376563,0.366927,0.373438,0.38151
1998-05-27,0.360938,0.341146,0.358333,0.369792,0.369271,0.376563,0.366927,0.373438
1998-05-28,0.358073,0.360938,0.341146,0.358333,0.369792,0.369271,0.376563,0.366927
1998-05-29,0.367188,0.358073,0.360938,0.341146,0.358333,0.369792,0.369271,0.376563
1998-06-01,0.356771,0.367188,0.358073,0.360938,0.341146,0.358333,0.369792,0.369271
1998-06-02,0.364063,0.356771,0.367188,0.358073,0.360938,0.341146,0.358333,0.369792
1998-06-03,0.352083,0.364063,0.356771,0.367188,0.358073,0.360938,0.341146,0.358333
1998-06-04,0.365625,0.352083,0.364063,0.356771,0.367188,0.358073,0.360938,0.341146
1998-06-05,0.36875,0.365625,0.352083,0.364063,0.356771,0.367188,0.358073,0.360938
1998-06-08,0.385417,0.36875,0.365625,0.352083,0.364063,0.356771,0.367188,0.358073
1998-06-09,0.427083,0.385417,0.36875,0.365625,0.352083,0.364063,0.356771,0.367188
1998-06-10,0.451042,0.427083,0.385417,0.36875,0.365625,0.352083,0.364063,0.356771
1998-06-11,0.520833,0.451042,0.427083,0.385417,0.36875,0.365625,0.352083,0.364063
1998-06-12,0.508333,0.520833,0.451042,0.427083,0.385417,0.36875,0.365625,0.352083
1998-06-15,0.547917,0.508333,0.520833,0.451042,0.427083,0.385417,0.36875,0.365625
1998-06-16,0.613542,0.547917,0.508333,0.520833,0.451042,0.427083,0.385417,0.36875
1998-06-17,0.658333,0.613542,0.547917,0.508333,0.520833,0.451042,0.427083,0.385417
1998-06-18,0.601042,0.658333,0.613542,0.547917,0.508333,0.520833,0.451042,0.427083
1998-06-19,0.631771,0.601042,0.658333,0.613542,0.547917,0.508333,0.520833,0.451042
1998-06-22,0.678125,0.631771,0.601042,0.658333,0.613542,0.547917,0.508333,0.520833
1998-06-23,0.772396,0.678125,0.631771,0.601042,0.658333,0.613542,0.547917,0.508333
1998-06-24,0.831771,0.772396,0.678125,0.631771,0.601042,0.658333,0.613542,0.547917
1998-06-25,0.825521,0.831771,0.772396,0.678125,0.631771,0.601042,0.658333,0.613542
